title,author,isbn,isbn13,year_published,publisher,pages,average_rating,ratings_count,description,categories,genres,source,google_id,goodreads_id,user_rating,user_read_date,user_shelves,popularity_score
Toxin,Robin Cook,0425166619,9780425166611,1999,Penguin,450,4.0,4,"When his daughter, Becky, becomes ill from bacterial poisoning, Dr. Kim Reggis, a cardiac surgeon, is determined to track down the cause, no matter what the cost",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,V8PZqNMIqJAC,,0,,[],6.438
Death by Honeymoon (Book #1 in the Caribbean Murder series),Jaden Skye,0976585502,9780976585503,2011,Independent Books,207,4.5,3,"Cindy and Clint are enjoying their honeymoon when paradise quickly turns into hell. Clint drowns in a freak accident in the ocean. The local police are quick to insist that he was caught in a sudden riptide. But Cindy, left all alone, is not convinced. She realizes that the only way to get answers, and to save her own life, is to return to where it all began: Barbados.",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,5Euqv1_S8owC,,0,,[],6.238
Little Secrets,Jennifer Hillier,1250154243,9781250154248,2020,Minotaur Books,369,4.5,3,"National Bestseller! ""Unflinching and unforgettable. Little Secrets has everything you want in a thriller"" —Riley Sager, New York Times bestselling author of Lock Every Door Overwhelmed by tragedy, a woman desperately tries to save her marriage in award-winning author Jennifer Hillier's Little Secrets, a riveting novel of psychological suspense. All it takes to unravel a life is one little secret... Marin had the perfect life. Married to her college sweetheart, she owns a chain of upscale hair salons, and Derek runs his own company. They're admired in their community and are a loving family—until their world falls apart the day their son Sebastian is taken. A year later, Marin is a shadow of herself. The FBI search has gone cold. The publicity has faded. She and her husband rarely speak. She hires a P.I. to pick up where the police left off, but instead of finding Sebastian, she learns that Derek is having an affair with a younger woman. This discovery sparks Marin back to life. She's lost her son; she's not about to lose her husband, too. Kenzie is an enemy with a face, which means this is a problem Marin can fix. Permanently.",['Fiction'],['Thriller'],thriller,KxyaDwAAQBAJ,,0,,[],6.238
Those Across the River,Christopher Buehlman,1101543868,9781101543863,2011,Penguin,255,4.0,3,"A man must confront a terrifying evil in this captivating horror novel that’s “as much F. Scott Fitzgerald as Dean Koontz.”* Haunted by memories of the Great War, failed academic Frank Nichols and his wife have arrived in the sleepy Georgia town of Whitbrow, where Frank hopes to write a history of his family’s old estate—the Savoyard Plantation—and the horrors that occurred there. At first their new life seems to be everything they wanted. But under the facade of summer socials and small-town charm, there is an unspoken dread that the townsfolk have lived with for generations. A presence that demands sacrifice. It comes from the shadowy woods across the river, where the ruins of the Savoyard Plantation still stand. Where a long-smoldering debt of blood has never been forgotten. Where it has been waiting for Frank Nichols....",['Fiction'],"['Horror', 'Thriller', 'Fiction']",horror,HLIO1zNqt10C,,0,,[],5.545
Critical,Robin Cook,039915423X,9780399154232,2007,Penguin,476,4.0,3,"Achieving a successful and profitable life in spite of a troubled past, doctor Angela Dawson pursues business opportunities in three major cities only to find her efforts compromised by a surge of drug-resistant staph infections, which are investigated by medical examiner newlyweds Laurie Montgomery and Jack Stapleton. 250,000 first printing.",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,4gE7vWcXK7YC,,0,,[],5.545
The Last Grave,Debbie Viguie,1101593172,9781101593172,2013,Penguin,217,5.0,2,"Samantha Ryan—homicide detective by choice, witch hunter by necessity—has left Salem for San Francisco, hoping a move will help her forget the horrors of her past. But she’s about to discover that witches tempted by the dark side are everywhere.... Samantha is doing whatever she can to forget her terrible childhood in a coven destroyed by its members’ greed and lust for power. Now she’s a San Francisco detective struggling to fight her own desire to turn to magic. But as she discovers, escaping who you are isn’t easy. Her latest case seems straightforward enough—the murder of a local historian named Winona Lightfoot. But strange clues take Samantha to the Santa Cruz Mountains, a place teeming with witches and black magic. As she works to uncover the connection between Winona and this coven, an earthquake rocks the Bay Area. That’s when Samantha has a premonition: Something is coming. Something evil. To survive—and save everyone around her—she will have to tackle her greatest fear, and hope she isn’t the next one put into a deep, dark grave....",['Fiction'],"['Mystery', 'Thriller', 'Fiction']",mystery_additional,QS2Tai9FZooC,,0,,[],5.493
School of Hard Knocks,Donna Huston Murray,0985688025,9780985688028,2011,Ravenhill Press,153,5.0,2,"Quiet Beech Tree Lane has suddenly become a lightning rod for crime. First, Ginger Barnes's friend is murdered by a home intruder. Thefts and threats and smashed mailboxes follow; but it's the mugging of elderly eccentric Letty MacNair that compels Gin to dust off her deerstalker. If an impoverished old woman qualifies as a target, who could be next?",['Fiction'],"['Mystery', 'Thriller', 'Fiction']",mystery_additional,utHukeyFXGkC,,0,,[],5.493
The Fall of East,Nana Malone,,,2021,Sankofa Girl,268,5.0,2,"Dive into this sizzling conclusion to the Hear No Evil Trilogy. Nyla Kincade has stolen my ruthless heart. Now that she owns it I’m not taking it back. I’ve vowed to protect her and all that we love with everything that I have. I will die before I break that oath. Considering the danger we face, that might be a careless promise. But I’ve fought this hard for vengeance, I must see it through. Because for those who heard no evil, a debt must be paid. And I will stop at nothing to see the scales balanced. **** The Fall of East is book 6 in the London Lords Trilogy a romance heist thriller written, by USA Today and Walls Street Journal Bestselling Author, Nana Malone. Fans of the following authors are enjoy this series: Brittany Sahin Ember Casey Rina Kent Meli Raine Dianna Love Lisa Lang Blakeney Theodora Taylor Kenya Wright Minx Malone Susan Stoker Kathleen Brooks Ivy Smoak Penny Reid Alessandra Torre Julia Kent Michelle Love Coleen Hoover Katee Robert Skye Warren K Webster EL James Ally Carter Sexy Timms Riley Edwards Caitlyn O'Leary Maryann Jordan Dale Mayer Lynn Raye Harris Cat Johnson Alexis Abbott Nicole Elliot Lori Ryan Meghan March Kristin Ashley Kris Michaels Catherine Cowles Lexi Blake Lani Lynn Vale, JS Scott Danielle Allen Topics: heist thriller, romantic suspense, contemporary romance, new adult romance, royal intrigue, coming of age romance, seductive story, thriller, mystery, romantic mystery, hot romance, women's fiction, women's romance, second chance romance, london romance, interracial romance, billionaire romance, college romance, contemporary woman, usa today bestseller, intrigue, special ops romance, jewel heist, secret society romance, free books to read and download, romance novels full free book, thriller, thriller romance, contemporary romance, new adult romance, romantic suspense, coming of age romance, seductive story, thriller, mystery, romantic mystery, hot romance, women's fiction, women's romance, second chance romance, british romance, bwwm romance, military romance, college romance, contemporary woman, usa today bestseller, intrigue, special ops romance, billionaire romance, interracial romance, interracial romantic suspense, alpha male romance, billionaire romance, contemporary romance, young adults romance, bad boy romance, romance short stories, second chance romance, steamy romance, hot romance books, love story, office romance, boss romance, beach reads, new adult, romantic fiction, romance fiction books, bwwm, bwwm romance, bwwm interracial romance books, african american romance, black authors books, interracial romance books, black women books, african american books, billionaire romance books, contemporary romance books, romance stories, fiction books, romance novels steamy, romance novel, books romance, romance, adult romance novels, romance books hot, alpha male romance books, steamy romance books, books romance hot, romance novels to read, love story books",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,eyYMEAAAQBAJ,,0,,[],5.493
The President Is Missing,"James Patterson, Bill Clinton",0316412716,9780316412711,2018,"Little, Brown and Company and Knopf",433,5.0,2,"Don't miss the #1 New York Times bestselling thriller from the world's bestselling author, James Patterson: an ""undeniably gripping ride through the hidden passageways of power and politics"" that ""moves like Air Force One"" (Michael Connelly). The President Is Missing confronts a threat so huge that it jeopardizes not just Pennsylvania Avenue and Wall Street, but all of America. Uncertainty and fear grip the nation. There are whispers of cyberterror and espionage and a traitor in the Cabinet. Even the President himself becomes a suspect, and then he disappears from public view . . . Set over the course of three days, The President Is Missing sheds a stunning light upon the inner workings and vulnerabilities of our nation. Filled with information that only a former commander in chief could know, this is the most authentic, terrifying novel to come along in many years. #1 New York Times bestseller#1 USA Today bestseller#1 Wall Street Journal bestseller#1 Indie bestseller ""President Duncan for a second term!"" -- USA Today""This book's a big one."" -- New York Times""Towers above most political thrillers."" -- Pittsburgh Post-Gazette""The plotting is immaculate . . . the writing is taut."" -- Sunday Times (London)""Ambitious and wildly readable."" -- New York Times Book Review",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,DVnODgAAQBAJ,,0,,[],5.493
Tokyo Traffic,Michael Pronko,1942410204,9781942410201,2020,Raked Gravel Press,359,4.5,2,"Running from a life she didn’t choose, in a city she doesn’t know, Sukanya, a young Thai girl, loses herself in Tokyo. With her Bangkok street smarts, and some stolen money, she stays ahead of her former captors willing to do anything to recover the computer she took. After befriending Chiho, a Japanese girl living in an internet café, Sukanya makes plans to rid herself of her pursuers, and her past, forever. Detective Hiroshi Shimizu leaves the safe confines of his office to investigate a porn studio where a brutal triple murder took place. The studio’s accounts point him in multiple directions at once. Together with ex-sumo wrestler Sakaguchi and old-school Takamatsu, Hiroshi tracks the killers through Tokyo’s teen hangouts, bayside docks and crowded squares, straight into the underbelly of the global economy. As bodies wash up from Tokyo Bay, Hiroshi tries to find the Thai girl at the center of it all, whose name he doesn’t even know. He uncovers a human trafficking ring and cryptocurrency scammers whose connections extend to the highest levels of Tokyo’s power elite.",['Fiction'],['Mystery'],mystery,nortDwAAQBAJ,,0,,[],4.944
Don't Say A Word,Barbara Freethy,0983651728,9780983651727,2012,"Fog City Publishing, LLC",243,4.5,2,"From #1 New York Times Bestselling Author Barbara Freethy comes an award winning tale of romance and suspense. Fans of Carla Neggars, Karen Robards, and Nora Roberts will enjoy this intricately suspenseful story that begins with the question -- what if you looked exactly like someone in a famous photograph? From the back cover: Everything she's been told about her past is a lie ... Julie De Marco is planning a perfect San Francisco wedding when she comes face-to-face with a famous photograph, the startling inage of a little girl behind the iron gate of a foreign orphanage -- a girl who looks exactly like her. But Julia isn't an orphan. She isn't adopted. And she's never been out of the country. She knows who she is -- or does she? Haunted by uncertainty, Julia sets off on a dangerous search for her true identity -- her only clues a swan necklace and an old Russian doll, her only ally daring, sexy photographer Alex Manning. Suddenly nothing is as it seems. The people Julia loved and trusted become suspicious strangers. The relationships she believed in -- with her mother, her sister, and her fiance -- are shaken by new revelations. The only person she can trust is Alex, but he has secrets of his own. Each step brings her closer to a mysterious past that began a world away -- a past that still has the power to threaten her life ... and change her future forever.",['Fiction'],"['Romance', 'Fiction', 'Fiction']",romance,DJoxRoppRYIC,,0,,[],4.944
Local Woman Missing,Mary Kubica,1488073961,9781488073960,2021,Harlequin,357,4.5,2,"THE NEW YORK TIMES BESTSELLER—OVER A MILLION COPIES SOLD! ""Dark and twisty, with white-knuckle tension and jaw-dropping surprises."" —Riley Sager, New York Times bestselling author of Home Before Dark In this smart and chilling thriller, master of suspense Mary Kubica, author of Just the Nicest Couple, takes domestic secrets to a whole new level, showing that some people will stop at nothing to keep the truth buried. People don't just disappear without a trace… Shelby Tebow is the first to go missing. Not long after, Meredith Dickey and her six-year-old daughter, Delilah, vanish just blocks away from where Shelby was last seen, striking fear into their once-peaceful community. Are these incidents connected? After an elusive search that yields more questions than answers, the case eventually goes cold. Now, eleven years later, Delilah shockingly returns. Everyone wants to know what happened to her, but no one is prepared for what they'll find… Don't miss Mary Kubica's chilling upcoming novel, She's Not Sorry, where an ICU nurse accidentally uncovers a patient's frightening past... Look for these other edge-of-your-seat thrillers by New York Times bestselling author Mary Kubica: The Good Girl The Other Mrs. Just The Nicest Couple She's Not Sorry It's Not Her",['Fiction'],['Thriller'],thriller,Mu_yDwAAQBAJ,,0,,[],4.944
Doomsday Men,P. D. Smith,1429984864,9781429984867,2024,Macmillan + ORM,588,4.5,2,"The gripping, untold story of the doomsday bomb—the ultimate weapon of mass destruction. ""Chillingly compelling."" — New Scientist In 1950, Hungarian-born scientist Leo Szilard made a dramatic announcement on American radio: science was on the verge of creating a doomsday bomb. For the first time in history, mankind realized that he had within his grasp a truly God-like power, the ability to destroy life itself. The shockwave from this statement reverberated across the following decade and beyond. If detonated, Szilard's doomsday device—a huge cobalt-clad H-bomb—would pollute the atmosphere with radioactivity and end all life on earth. The scientific creators of such apocalyptic weapons had transformed the laws of nature into instruments of mass destruction and for many people in the Cold War there was little to distinguish real scientists from that ""fictional master of megadeath,"" Stanley Kubrick's Dr. Strangelove. Indeed, as P. D. Smith's chilling account, Doomsday Men, shows, the dream of the superweapon begins in popular culture. This is a story that cannot be told without the iconic films and fictions that portray our deadly fascination with superweapons, from H.G. Wells's The War of the Worlds to Nevil Shute's On the Beach and Kubrick's Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb. Although scientists admitted it was possible to build the cobalt bomb, no superpower would admit to having created one. However, it remained a terrifying possibility, striking fear into the hearts of people around the world. The story of the cobalt bomb is an unwritten chapter of the Cold War, but now P. D. Smith reveals the personalities behind this feared technology and shows how the scientists responsible for the twentieth century's most terrible weapons grew up in a culture dreaming of superweapons and Wellsian utopias. He argues that, in the end, the doomsday machine became the ultimate symbol of humanity's deepest fears about the science of destruction. ""Weaving together biography, science and art, Smith has created a compelling history of physics in the twentieth century, focusing on the long-lasting search for ever more destructive weapons—from the development of chemical warfare in World War I Germany through the arms race of the Cold War. . . . Captivating and thoroughly referenced, this chronicle should interest a wide audience, from science and history buffs to armchair politicos."" — Publishers Weekly",['History'],"['New Release', 'History']",new_releases,isOmR5YkpIEC,,0,,[],4.944
Still Waters,Tami Hoag,0553898515,9780553898514,2003,Bantam,466,4.5,2,"The deepest waters hide the darkest secrets.... When the body of a murdered man literally falls at Elizabeth Stuart's feet, she's able to wash away the blood--but not the terror. Unwelcome newcomers to Still Creek, Minnesota, she and her troubled teenage son are treated with suspicion by the locals, including the sheriff. Yet nothing will stop her from digging beneath the town's placid surface for the truth—except the killer. Running from a messy divorce, Elizabeth believed buying a small-town newspaper offered a fresh start for herself and her son. But idyllic Still Creek, nestled in the heart of lush Amish farmlands, hides secrets dangerous enough to push someone to commit murder. Now Elizabeth must risk everything to save herself and her son, and to unmask the killer...before the current of evil flowing through Still Creek drags her under. When Elizabeth Stuart searched for a quiet, peaceful home for herself and her son, Still Creek seemed perfect. Nestled in the heart of lush Amish farmlands, this small, idyllic Minnesota town would allow her to put a shattering divorce behind her. But the locals were noticeably cool to the newcomer—who was rumored to be a gold-digger—especially when she started stirring up controversy with her newspaper. And now when a murdered body literally falls at her feet, she has a slight credibility problem...particularly with the arrogant sheriff whose blue eyes seem to know her darkest secrets. An ex-pro athlete who had returned to Still Creek a hero, Sheriff Dane Jantzen doesn't have much use for the media—especially not in the form of this glamorous, gutsy outsider who spells trouble with every word she prints. So when she becomes his suspect in a vicious crime, the last thing Dane expects is the jolt of attraction at their every encounter. Elizabeth would soon challenge Dane's every assumption, including the one that he's better off without love. But as they risk everything to uncover the truth, the current of evil that contaminates Still Creek threatens to pull them both under...",['Fiction'],"['Suspense', 'Thriller', 'Fiction']",suspense,Ce_5LemIyJMC,,0,,[],4.944
The Vampire Book,J Gordon Melton,1578593506,9781578593507,2010,Visible Ink Press,945,3.5,3,"The Ultimate Collection of Vampire Facts and Fiction From Vlad the Impaler to Barnabas Collins to Edward Cullen to Dracula and Bill Compton, renowned religion expert and fearless vampire authority J. Gordon Melton, PhD takes the reader on a vast, alphabetic tour of the psychosexual, macabre world of the blood-sucking undead. Digging deep into the lore, myths, pop culture, and reported realities of vampires and vampire legends from across the globe, The Vampire Book: The Encyclopedia of the Undead exposes everything about the blood thirsty predator. Death and immortality, sexual prowess and surrender, intimacy and alienation, rebellion and temptation. The allure of the vampire is eternal, and The Vampire Book explores it all. The historical, literary, mythological, biographical, and popular aspects of one of the world's most mesmerizing paranormal subject. This vast reference is an alphabetical tour of the psychosexual, macabre world of the soul-sucking undead. In the first fully revised and updated edition in a decade, Dr. J. Gordon Melton (president of the American chapter of the Transylvania Society of Dracula) bites even deeper into vampire lore, myths, reported realities, and legends that come from all around the world. From Transylvania to plague-infested Europe to Nostradamus and from modern literature to movies and TV series, this exhaustive guide furnishes more than 500 essays to quench your thirst for facts, biographies, definitions, and more.","['Body, Mind & Spirit']","['Horror', 'Thriller', 'Body, Mind & Spirit']",horror,rZ9clsv_L0EC,,0,,[],4.852
Chasing Secrets (Elite Guardians Book #4),Lynette Eason,1493407163,9781493407163,2017,Revell,328,4.0,2,"Elite Guardians bodyguard Haley Callaghan may be in South Carolina, but when a photo leads investigators in West Ireland to open a twenty-five-year-old cold case, her life is suddenly in danger. Haley knows how to take care of herself; after all, she's made a career out of taking care of others. But after an uncomfortably close call, Detective Steven Rothwell takes it upon himself to stay with her--and the young client she has taken under her wing. A protector at heart, he's not about to let Haley fight this battle alone. In a sweeping plot that takes them into long-buried memories--and the depths of the heart--Haley and Steven will have to solve the mystery of Haley's past while dodging bullets, bombs, and bad guys who just won't quit.",['Fiction'],"['Mystery', 'Thriller', 'Fiction']",mystery_additional,ys3lDQAAQBAJ,,0,,[],4.394
The Encyclopedia of Fantasy,"John Clute, John Grant",0312198698,9780312198695,1999,Macmillan,1110,3.0,3,"Like its companion volume, ""The Encyclopedia of Science Fiction"", this massive reference of 4,000 entries covers all aspects of fantasy, from literature to art.",['Art'],"['Splatter-punk', 'Horror']",splatterpunk,mfjAjibERF0C,,0,,[],4.159
